course,semester,year,exam_type,question,marks
B.Sc. (CA&IT),1,2023,Remedial,"Write an Algorithm to print ""DCS-GNU"" ten times using loops Write a short note on Primary Data Types Explain Increment and Decrement operators with example Explain Nested if... else statement with proper example What is looping? Explain tor loop with",12
B.Sc. (CA&IT),1,2023,Remedial,Discuss various Flowchart Symbols Discuss basic structure of C Program with example Write a short note on Symbolic Constants,12
B.Sc. (CA&IT),1,2023,Remedial,Write a C program to find largest number among three numbers What is switch case statement? Explain it with proper example Explain goto statement with example Discuss break and continue statement with example Discuss the difference between CUI Vs.GUI,6
B.Sc. (CA&IT),1,2023,Remedial,"Explain MS-Access Object. 2 How to Filtering data in MS-Access? Whatis Website? Describe various text formatting taps of HIME, 4 Differentiate canvas and SVG, 5 Explain <audio® and <video™ tay with required attributes, 6 Explain different types of se",6
B.Sc. (CA&IT),1,2023,Remedial,Explain arithmetic operators and logical operators in JavaScript. 2 Discuss the advantages and features of JavaScript Discuss any five Input and Output Devices. 2 What is Computer? Explain Block Diagram of Computer. 3 List out type of port and Explai,12
B.Sc. (CA&IT),1,2023,Remedial,"How many different ways can gold, silver, and bronze medals be awarded in an Olympic event with 12 athletes competing? Define the term ‘communication’ and explain its features. 2 Explain any five conjunctions and give examples Discuss the effective m",0
B.Sc. (CA&IT),1,2024,Remedial,Demonstrate various Flowchart 06 col BTL3 Symbols. 3 | Summarize Basic Structure of C Program with example. 06 CO2 BTL2 4 | Illustrate Features of C Language. 06 Cco2 BTL4 5 | Explain Increment-Decrement and Relational Operators 06 Cco2 BTL2 with exa,0
B.Sc. (CA&IT),1,2024,Regular,"Discuss rules for preparing Algorithm with example. 5 2 Discuss Basic Structure of C Program with example. . : ' 3 How to define Symbolic Constants in C Language? Explain rules to define Symbolic Constants ; 7 4, What is the use of switch case statem",0
B.Sc. (CA&IT),1,2023,Regular,What is Algorithm? Explain Branching Type of Algorithm with example Create an Algorithm and draw a Flowchart to find sum of all the integers greater than 100 and less than 200 that are divisible by 5 How to define Symbolic Constants in C Language? Ex,12
B.Sc. (CA&IT),1,2023,Regular,Illustrate General Rules for creating Flowchart Write a short note on C Tokens Discuss various properties of Algorithm Write a C Program to find smallest number from given three numbers Discuss switch case statement with proper example Define Terms: ,12
B.Sc. (CA&IT),1,2023,Regular,Define step of Mail Merge What is Batch file? Discuss with an example What is DOS? Explain any five Internal Commands of DOS Write a short note on Custom Animation,6
B.Sc. (CA&IT),1,2019,Regular,"Write the syntax to create, read and delete a cookie using JavaScript Explain CSS background properties with proper example What is Algorithm? Discuss Looping Type of Algorithm with example. 2 What is C Token? How it is useful in C Language? ____3.__",6
B.Sc. (CA&IT),1,2019,Regular,Write 4 short note on factorial notation with example,0
B.Sc. (CA&IT),1,2022,Regular,Illustrate General Rules for creating Flowchart. b) Explain basic structure of C Program with example. c) Create an Algorithm and draw a Flowchart to find sum of all the integers greater than 100 and less than 200 that are divisible by 7. d) How to d,12
B.Sc. (CA&IT),1,2022,Regular,Explain Branching Type of Algorithm with example. b) Write a short note on C Tokens. c) Discuss various properties of Algorithm. 3,12
B.Sc. (CA&IT),1,2022,Regular,"Explain Increment and Decrement operators with example. b) Explain Nested if... else statement with proper example. c) Write a C Program to find smallest numbers among three numbers. 4, Answer the following",6
B.Sc. (CA&IT),1,2022,Regular,"Explain for loop with proper example SECTION-I Answer the following: (Any Five) What is DOS? Explain any five Internal commands of DOS Define terms: Header, Footer, Footnote, Endnote, Drop cap, Watermark Discuss Any five Mathematical Function in MS E",6
B.Sc. (CA&IT),1,2022,Regular,"Differentiate between RAM and ROM. 2 Define the following set by Roaster method. @) A= {x /x isa single digited prime number} (ii) B -{s/x= ne nnsah n+l (iii) C = {x/x? -7=0,xe R} 2 Discuss Isomorphic Graph in detail. 5 Define: Domain, Co Domain and ",0
B.Sc. (CA&IT),2,2024,Remedial,With 06 Cco2 BTL-3 example. 3 | Explain advantages and disadvantages of responsive web 06 Co4 BTL-4 design. 4 | What is an AJAX? Discuss various technologies involved 06 Cco2 BTL-5 in AJAX. 5 | Write a short note on followings. 06 col BTL-2 a.) Offli,0
B.Sc. (CA&IT),2,2023,Regular,"Explain string handling functions with example What is UDI? List out category of UDF and Discuss any one category with example, Discuss structure in detail with proper example What is pointer? How to declare and initialize pointer? Discuss it with ex",30
B.Sc. (CA&IT),2,2023,Regular,Explain advantages and disadvantages of accounting Write a short note on types of account with an example Write a short note on trading account and profit & loss account Write a short note on branches of account What is accounting ratio? Explain clas,12
B.Sc. (CA&IT),2,2023,Regular,Explain types of subsidiary book What is final account? Explain objectives of final account Find out BEP (in unit) and BEP (in rupees) Answer the following Any One) What is Tally? Define features of tally? Write short note on voucher Write a short no,10
B.Sc. (CA&IT),2,2023,Regular,"State the difference between RISC and CISC architecture, 3 What is Addressing Techniques? Explain in details",6
B.Sc. (CA&IT),2,2023,Regular,Explain different types of operating systems Explain different types of registers in processor Draw the block diagram of microprocessor and explain its components Write a short note on plug and play feature What is the use of programming language? Ex,6
B.Sc. (CA&IT),2,2024,Regular,"Provide examples to illustrate these BTL6 | differences. _ | 4 | Discuss the purpose and functionality of dynamic 06 C04 BTL3 i i_memory allocation functions in C. . | 5 | Define the relationship between pointers and arrays in C 06 col BTL2, and illu",0
B.Sc. (CA&IT),2,2019,Regular,Explain types of color space in details Write a short note on Resolution Explain Transformation in Photoshop Describe the Corel draw interface with figure Write steps to move Circle from top to bottom in animation (Synfig studio) Describe the Animati,6
B.Sc. (CA&IT),2,2019,Regular,Discuss any two elements of multimedia Describe important panel and their functions in Animation tool Write a short note on Methods of Accounting. 2 Discuss the Branches of Accounting in detail. 4 Write down the difference between Trial Balance and B,30
B.Sc. (CA&IT),2,2019,Regular,Discuss it with example Explain various characteristics of RISC Machines IV) What is Micro controller? Discuss any one Application of Micro controller Discuss Array Computers Method of Processor Level Parallelism,12
B.Sc. (CA&IT),3,2023,Remedial,Explain in detail Explain type conversation and type casting with example What is Thread? Explain different ways to implements thread with example Explain benefit of generic? Explain generic in detail Explain dynamic array with example Explain in bri,12
B.Sc. (CA&IT),3,2023,Remedial,What is package?,6
B.Sc. (CA&IT),3,2024,Remedial,Explain the types of it. 06 Cco2 BTLI 2 | Write down algorithm for Deque operations. 06 Co3 BTL3 3 | Write down algorithm to insert a node at the beginning of 06 C03 BTL2 the doubly link list Explain its types in detail. 06 co2 BTL4 3 | Explain threa,0
B.Sc. (CA&IT),3,2019,Regular,Explain the types of it Write down algorithm for Deque insert and delete operations Explain different tree traversal method with example Give the difference between SMA and DMA Write down the algorithms for all stack operations Explain binary search ,6
B.Sc. (CA&IT),3,2019,Regular,Describe DIR command with all attributes What is mail merge? Write down steps for mail merge Discuss importance of Freeze Panes and Drawing Tools in Excel What is Excel? Define features of Excel Discuss features of PowerPoint Discuss Data types of Mi,6
B.Sc. (CA&IT),3,2019,Regular,"Discuss different elements of Microsoft Access, ad Define System and Characteristic of a System Explain Need for System Development, List out various Fact finding techniques and describe any one in brief. 2. 3 4 Explain various level of Testing in de",6
B.Sc. (CA&IT),3,2019,Regular,"Draw Case Study for Hospital Management System, 2 Draw case study for Railway Reservation system Explain various data types in Oracle Discuss aggregate functions Discuss GRANT and REVOKE statement in detail Explain Advantages of DBMS. 2 Write short n",12
B.Sc. (CA&IT),3,2019,Regular,"How to create object of Calendar class? List out any six constants of Calendar. 2 Explain method reference in lambda expression, 3 Differentiate HashTable and Vector",6
B.Sc. (CA&IT),3,2019,Regular,Discuss fork/join framework 2 Explain executer in detail,0
B.Sc. (CA&IT),3,2022,Regular,What is data structure? What is Stack? List out the operations of Stack Write algorithm to Push an Itinto the Stack What is simple Queue? Write an algorithm to Insert and Delete Operations of simple Queue. § Explain AVL tree with example What is DFS?,12
B.Sc. (CA&IT),3,2022,Regular,"Explain JDK,JRE, JRE, JIT Which are the ways to implements thread in java? Explain with example Explain access specifier in java",12
B.Sc. (CA&IT),3,2022,Regular,List out any six constants of Calendar Explain method reference in lambda expression Differentiate HashTable and Vector,6
B.Sc. (CA&IT),3,2022,Regular,Discuss Dr What is E-R Model? Explain components of E-R Model Explain 2NF and 3NF Explain Oracle Data Types What is Join? Explain with example and list out types of it What is Sequence? Explain keywords and parameters of Sequence Discuss Role of Data,30
B.Sc. (CA&IT),3,2022,Regular,Define the Scope of Environment. b) Define Terms: Ecology and Ecosystem. c) What is Water Pollution? Define different effects of Water Pollution. d) What is Air Pollution? Describe classification of Air Pollution. e) Write a short note on Global Warm,12
B.Sc. (CA&IT),3,2022,Regular,Define sources of Noise Pollution. b) What is Acid Rain? Discuss effect and solution of Acid Rain c) What is Hazard?,6
B.Sc. (CA&IT),3,2024,Regular,Answer the following: (Any Two) 12 1 | Explain the concept of traversal in trees and list the 06 Co3 BTL-2 different traversal methods. 2 | what are the different types of graph representations? 06 Cco3 BTL-1 3 | Which search technique would you use ,0
B.Sc. (CA&IT),4,2024,Regular,Demonstrate about System Recovery. 06 col BTL3 2 | Explain any six objectives of Distributed Database. 06 col BTL6 3 | Discuss for loop in PL/SQL with example. 06 Cco2 BTL2 Q.3 | Answer the following: (Any Two) 12 1 | Explain components of Package wi,0
B.Sc. (CA&IT),4,2023,Regular,"What is code window? Discuss C# program structure with example Describe Check List Box control with its property, methods, and event Short Note : A) Execute Reader, B) Execute Non Query, C) Execute Scalar What is MDI-Form? Discuss briefly Explain Sol",0
B.Sc. (CA&IT),4,2023,Remedial,"Explain Solution Explorer and Server Explorer in detail. 3 Describe SaveFileDialog and ColorDialog briefly. 4 Discuss Jagged Array briefly with example. 5, Elaborate the concept of constructor and destructor in detail. 6 What is ADO.NET? Discuss its ",6
B.Sc. (CA&IT),4,2023,Remedial,Write a C# code to perform insert operation into a database Explain The Generic PL/SQL block What is exception? Explain User defined exception with cxample Describe fixed-width columns in SQL* loader What is procedure? Explain is with suitable exampl,30
B.Sc. (CA&IT),4,2023,Remedial,"Discuss all properties with example 6 4. | Differentiate Adaptive v/s Responsive Web Design. 6 - “5, | How one can create an alternate and a striped progress bar in Bootstrap? Discuss 6 different classes for the same. [ 6. | Explain different classes",12
B.Sc. (CA&IT),4,2023,Remedial,Define Software Engineering Describe the characteristics of Software Discuss about Prototyping Model. 3 Discuss the advantage and disadvantage of waterfall model. 4 Discuss various consequences of NOT ‘esting a Software. 5 Explain in detail about Sof,30
B.Sc. (CA&IT),4,2023,Remedial,Define advantage of Software Testing Describe RTM in detail Write a short note on Black box and White box Testing Discuss Performance and Security Testing in detail Write a short note on TPI model Write a short note on Web based Testing What is Defec,6
B.Sc. (CA&IT),4,2023,Remedial,Define Taxonomy of Defect Explain Defect Life Cycle,0
B.Sc. (CA&IT),4,2024,Remedial,Demonstrate about System Recovery. 06 col BTL3 2 | Discuss while loop in PL/SQL with example. 06 Co2 BTL2 3 | Demonstrate cursor for loop with example. 06 CO2 BTL3 4 | Explain about Statement Trigger with proper example. 06 CO3 BTL2 5 | Write a PL/SQ,0
B.Sc. (CA&IT),3,2023,Regular,Explain the types of it. 06cozBTLi 2Write down algorithm for Deque operations. 06co3 BTL3 3Write down algorithm to insert a node at the beginning of the single link list.06co3 BTL2 Q.3 (Any Two) L2 1Write down algorithm to insert the node in tree 06c,0
B.Sc. (CA&IT),4,2019,Regular,"Define Assemblies with its Elements List out Category of Toolbox Control and Explain Common Control Discuss advantages of OOPs Define Inheritance in detail Explain Text Box with Property, Methods and Event Discuss .Net Data Provider Write down steps ",30
B.Sc. (CA&IT),4,2019,Regular,Discuss problems with MIS Describe Communication System with an example What is Planning? Discuss Planning Terms (Elements) Write a short note on Level of Planning Write a short note on Seven S-Model Describe Types of Information System and explain a,12
B.Sc. (CA&IT),4,2019,Regular,Discuss different Communication methods. wo What is System? Define Open and Closed System with an example C_ What is Decision Making? Define Phases of Decision Making. 3,0
B.Sc. (CA&IT),5,2022,Regular,"List out validation controls Explain any two in detail with its key properties Explain listbox and dropdownlist controls with example Explain gridview control with properties, events and methods What is web service? How to implement it in ASP.NET app",6
B.Sc. (CA&IT),5,2024,Regular,Also list the name of | 06 Col BTL4 different web servers and browsers. 2 | What is variable? How to declare variable in PHP? Discuss the features and advantages of | 06 col BTL4 PHP What is file? Summarize the file functions with example. 06 co2 BTL,0
B.Sc. (CA&IT),5,2024,Regular,"How can reports be generated in an ASP.NET application? How one can declare a 06 Col BTLS5 variable in PHP? Discuss the types of variable, rules and main characteristics of PHP variable. 2| What different types of error can be reported in PHP?| 06 Co",0
B.Sc. (CA&IT),5,2023,Regular,"ttr' 5) X Ia rl<s 30Collloont's 'l-irr.ononrl' l)lrt(ct'rt IDcllnc ASl'.NE l uncl irdviLniagcs o1-using .,\S1'.i'ill'1-. 06co1 BTI-1 2lliustatc Asp.nct i'rgc l.i1tCil'clc 06co1I J',ll.l 3Lisl artl hricllv cxplain {lve: statrdru'cls r\SI'.;\lr I cottt",0
B.Sc. IMS,1,2020,Regular,List out C Token and explain any four in detail List out Arithmetic operator and explain any four Explain Increment and Decrement operator with example Explain the do...while loop with proper example Explain two dimensional Array with proper example ,6
B.Sc. IMS,1,2020,Regular,Explain Rules to declare Variable in detail Discuss the Data Type in C language What is Procedure oriented language? Explain the important of C language List out the mathematical function and explain any four in two in detail Explain getchar() and pu,4
B.Sc. IMS,1,2020,Regular,"Write a short note on VPN Explain <FRAMESET> tag with suitable example Discuss LAN , MAN , WAN in detail Define table? Explain <TABLE> tag with suitable example Explain arithmetic operator in java script Explain the basic structure of HTML Discuss th",4
B.Sc. IMS,1,2020,Regular,"Give the purpose and syntax of the io following: open(), close(), read() and write() B Howto handle binary files in python? 3 Write a python statement to do the following: Assume that CUSTOMER.CSV file contains ( custid, name, city, gender, r ) incom",0
B.Sc. IMS,1,2022,Regular,Define about the type casting and Explain it with example Explain the use of getchar() and putchar() with example Explain the use of switch statement with example Discuss about break and continue statement with Example Write the short note on arrays ,8
B.Sc. IMS,1,2022,Regular,Explain <TABLE? tag with suitable example. g and <TEXTAREA?> tag in details. 2 Explain <INPUT> tai — END oF PAFER —— GANPAT UNNIVERSITY B.Sc,30
B.Sc. IMS,1,2022,Regular,"Discuss the Components of Open Office in details What is database? How to create database? List out Advantages of open office base? Write a short note on Working with Documents with figure How do user add Watermark in background in OpenOffice? ""ma Yk",0
B.Sc. IMS,1,2022,Remedial,Write down its steps Write a short note on Spreadsheets. yr P How to creating a New Database? List out advantages of OPEN OFFICE-IMPRESS. e,6
B.Sc. IMS,1,2022,Remedial,Define Mail Merge Write down its steps with all option. b Write a short note on Working with Documents with figure. [B] Write use of shortcut:[i] Ctrl+P [ii] Ctrl+G [iii] Ctrl+w (03) 3. [A] Answer the following: (ANY ONE) _ (06) a List out Math’s Fun,6
B.Sc. IMS,1,2022,Remedial,Define Mail Merge- write d0Wn its steps with all option. b Write a short note on working With Documents with figure. [B]_ Write use of shorteut:fi Ctrl4P [ii] Ctrl+G [iii] Ctrl+W (03) 3. [A] Answer the following: (ANY ONE) _ 06) a List out Math’s Fun,0
B.Sc. IMS,2,2020,Regular,Explain the 3 command of DDL with proper syntax. 3 Explain BCNF with example. 4 Discuss the basic structure of DBMS. 5 List out different types of joins Explain inner and self join with example. 6 — Explain serializability of transaction. 7 Explain h,7
B.Sc. IMS,2,2020,Regular,Explain 1st and 2nd normal form with Proper example. 3 Explain SQL with naming rules and convention Explain DML with its 3 commands with proper syntax Discuss the Revoke with Proper example Discuss the set command with example Explain index with its ,8
B.Sc. IMS,2,2020,Regular,"Explain with suitable example What is Computer Network? Explain the use of Computer Network. 2 Write a short- note on wireless network. 3 Describe OSI Model in brief. 4 Define the terms: HTTP and HTTPs, SSH 5 What is WWW? Explain in brief. 6. | Write",8
B.Sc. IMS,2,2020,Regular,"Explain the class of IPv4 Address. 2 Describe the difference between TCP and UDP. 3 Explain TCP/IP Model in brief Describe the term Intranet and Extranet. 2 Give the full forms: STP, UTP, SMF, NIC. 3. | Write a short-note on Ethernet Card Explain Com",0
B.Sc. IMS,2,2023,Regular,Be precise and to thc point in your answer April -June 2023 State the types of scope in Group Policy? Any One) What is IPv4? Explain the classes of IPv4 Explain event log in brief Describe the advantages of filc server List out the editions of Window,4
B.Sc. IMS,2,2023,Regular,"Discuss the lub Sivitch and Router in Network Terminology Explain the physical, Data-ink and Network Layer of OST mode Discuss the Asynchronous Iransfer Mode (ATM ) in Network Terminology Q-2 What is computer Network? Explain the need and advantage o",5
B.Sc. IMS,2,2023,Regular,"Explain Arithnietic Operators and Logical Operator in java List out data type of java and explain it Give the differences between while loop and do...while loop Explain try, catch and finally block in Exception. exan1ple of to implementing interfaces",0
B.Sc. IMS,2,2022,Regular,What is computer network? Explain any three types of computer network with example? 2 Describe the types of scope in Group Policy? 3 Describe the services provided by Active Directory Domain Services? 4 What is DHCP? Explain the feature of DHCP. 5 Wh,15
B.Sc. IMS,2,2022,Regular,"Explain any three types of . . . com) ample? Describe the types of scope in Group Policy? puter network with example’ 1 2. 3 Describe the services provided by Active Direct . : 4 Explain the feature of DHCP, Dain Services? 5 Explain in brief, 6 Write",7
B.Sc. IMS,2,2022,Regular,List out data type of java and explain it Explain while loop with example. 2 Explain nested if statement with example Explain final keyword in detail with suitable example. 2 What is an Inheritance? Explain the types of inheritance What is the use of,0
B.Sc. IMS,3,2022,Regular,"Describe the main difference between IPv4 and IPv6 Define these keywords: Routing, Routing table, MAC table E. — Give the full form: DR, BDR, BGP, LSA, CIDR F Define network security and its threat Describe VLAN and its usage in brief Explain subnett",6
B.Sc. IMS,3,2022,Regular,"Explain any one with example Describe: Port vs Socket C. — Explain OSI layer in brief 3 Define these terminologies: LAN, WAN, WLAN B Describe: Router vs Switch vs Hub C",5
B.Sc. IMS,3,2022,Regular,"Define these keywords: VPN, ACL C. — Explain NAT and its type Write a short note in DNS hierarchy in detail with proper example Explain the client server architecture in detail with proper example Explain DORA process in detail What is the difference",5
B.Sc. IMS,3,2022,Regular,How to change file permission? Explain with example. 3 What is DHCP? Explain DHCP configuration in brief Discuss features of Apache HTTP server. 4 Explain basic configuration of mail server. @ B What is the role of the NSS? How to identifying files i,8
B.Sc. IMS,3,2022,Regular,Explain in brief Explain it,0
B.Sc. IMS,4,2020,Regular,What are the different types of Assembly? Explain Link Button control with properties and Events Write a short note on Theme Explain the ADO.NET architecture What is Skin file? Explain the types of Skin file Explain Dynamic Compilation in detail Expl,0
B.Sc. IMS,4,2023,Regular,Explain Command Class with methods Describe a Control trees What is use of Panel Control? Explain properties of panel control What is CLR? Explain in Detail Explain CompareValidator with properties What is use of ImageButton Control? Explain with Pro,0
B.Sc. IMS,4,N/A,Regular,Explain Button control with properties and Events. ‘6 What is Skin file? Explain the types of Skin file. d Explain Textbox control with properties and Events. e Explain the ADONET architecture in detail Explain CompareValidator in detail. g Whatis Dy,7
B.Sc. IMS,4,N/A,Regular,"Describe the Services of MAN and WAN. 2. 3 Write the full forms of following terms: MAC, VPN, SONET, SDH, DAS. 5 What are the effects of TCP on Application Performance? Define the keywords: Tactical Goals, strategic objectives",0
B.Sc. IMS,5,2020,Regular,What is use of File Upload Control? Explain with property. b Culture name having how many parts? Explain with example. c Explain property of LoginStatus control with possible and default value. d What is use of MultiView control? Explain with command,4
B.Sc. IMS,5,2020,Regular,"Explain with property Explain <%@ Register %> directive with three attributes. 3 How you can set UICulture and Culture properties in web configuration » file. 4 Write Down the step to create LINQ to SQL Classes What is the use of Validate(), EndEdit(",0
B.Sc. IMS,5,2022,Regular,Answer the following: (ANY THREE) What is migration toolkit in virtual server 2005(VSMT)? Explain in brief Describe the steps to create the virtual machine using script Explain the types of Virtual Disk Write a short note on LPT port Explain the Star,3
B.Sc. IT,1,2020,Regular,Explain formatting documents with figure in detail What is mail merge? Write down its steps with all options Write down any five date & time function List out types of charts Write down the steps for creating charts. —E Discuss the menus of math with,30
B.Sc. IT,1,2020,Regular,Explain with figure Whats difference between primitive and Non primitive Data Structures? eo C Write an algorithm for the operations on stack Define a linked list Write the advantage and disadvantage of lined list? Define a circular linked list? Writ,30
B.Sc. IT,1,2020,Regular,Explain Customer Journey for any ecommerce website Explain in brief : Admin Store Panel List out types of products in magento and explain any 2 in details Explain Catalog Price Rules with suitable example Explain Free shipping and Flat rate shipping ,8
B.Sc. IT,1,2022,Regular,Explain if...else statement with example What is variable? Explain declaration and initialization of a variable Explain all arithmetic operators with proper example Write the short note on “Define Symbolic Constants” Explain break and continue statem,6
B.Sc. IT,1,2022,Regular,Explain Declaration and Initialization of one dimensional array with example What is function? Explain categories of function Answer the following: (ANY ONE) ‘ What is structure? Write the syntax of structure and explain it with example Explain “arra,8
B.Sc. IT,1,2022,Regular,Define Mail Merge Write down its steps with all option. b Define Watermark Write down its steps with all option. c List out types of charts Write down steps to Creating Charts. d Discuss the Menus of Open Office-Math with figure Write a short note on,8
B.Sc. IT,1,2022,Regular,Write down its steps How to select the application package? Write down its steps. c Write a short note on Working with Documents with figure. [B] ___is the extensions file are saved in impress List out Date Time functions Explain any three function w,6
B.Sc. IT,1,2022,Regular,Write a short note on Backup and Restore,30
B.Sc. IT,1,2022,Regular,"Explain any Four tenses with its forms, uses and examples What are the various modes of listening with examples? What is Reading? Explain the various types of reading with examples Explain the flow and methods of communication What are the tips for e",0
B.Sc. IT,2,2020,Regular,What is normalization? Explain any two normal form in detail Explain the architecture of database system in short What is the use of Join? List out different types of Join Discuss any one with example Which are different types of data types? Explain ,7
B.Sc. IT,2,2020,Regular,Explain structure of database system in detail with appropriate figure What is the meaning of RDBMS? Discuss any five Codd’s rules in detail What is transaction? Explain the different ACID properties of transaction Write a short note on INDEX Whatis ,0
B.Sc. IT,2,2023,Regular,"Discuss responsibilities of Database Administrator Explain IDML Commands with example Briefly discuss about Problems of concurrent cxecution of Transactions What is Constraints? Explain Primary Key, Foreign Key and CHECK constraint with example Expla",0
B.Sc. IT,2,2023,Regular,"C. wb i the vod they :ad I xnple: Antomo is oe of loe people whevy puviat npular I Iatsa piewntaion"" Wht ate te omponenl, ofa preentato? I would have passed the exam if I had studied harder What are the steps for preparing effective physical presenta",0
B.Sc. IT,2,2022,Regular,Explain basic concepts of OOPs Discuss arithmetic and relational operators with example in JAVA. 1 Explain any two Inheritances with suitable example Discuss switch statement with suitable example in JAVA. ¥ What is a constructor? Explain with proper,30
B.Sc. IT,2,2022,Regular,Explain its advantage Explain types of network model Give the difference between OSI Vs TCP/IP models Explain ATM in detail Explain X.25 protocol in brief Explain NIC card Explain TCP and UDP protocol Explain different classes of IP addresses Explain,0
B.Sc. IT,3,2022,Regular,"Answer the Following(Any seven) 1 What is Data Structure?Explain it. 2 Explain Double Linklist with Any five Algorithms. , 3.'Explain Polish Notation (Prefix, Infix, Postfix). °, - Explain Non Linear Data Structure Explain Explain, Height Balanced Tr",30
B.Sc. IT,3,2022,Regular,"List out the benefits of ERP to the organization Discuss different features of Python How does List differ from Tuple? BSA > What is Exceptions? Explain handling an exception condition with suitable example F, What is Python Module? Explain creation ",6
B.Sc. IT,3,2022,Regular,Explain any three functions of String Explain it with suitable example What is Constructor? Explain how to declare and use constructor in python program Explain any three Structure tools used to design E-Commeree/WEB-SITI Answer the following: (ANY O,10
B.Sc. IT,3,2022,Regular,Which are the types of cursors? Explain in detail. - II Discuss the use of procedure with suitable example IM What is trigger? Explain its types with suitable example Whati is OSI Model? ‘Explain the funeis and Protocols find services of each layer W,8
B.Sc. IT,3,2022,Regular,Prove that De Morgan’s laws Explain Cartesian Product of Two Sets with an example Answer the following: (Any One) How many ways can the letters can be arranged? HIPPOPOTAMUS (b) CALCULATOR In how many different ways can the letters of the word 'INDIA,0
B.Sc. IT,4,2022,Regular,Define MIS Mention the usefulness of MIS Explain Closed System and Open System with example for each Mention the roles and responsibilities of bottom level management Mention working functionalities of payroll management system. 2,10
B.Sc. IT,4,2022,Regular,What is communication with regards to MIS? Discuss methods of communication in brief Explain the concept of system boundaries in detail. 3 Explain Seven-S Model in brief Write a short note on decision support system. bg C Discuss working of managemen,4
B.Sc. IT,4,2022,Regular,How can we control air pollution? Explain the common sources of water pollution? How can we control water pollution? What is Disaster? What are the different types of Hazards?,0
