course,semester,subject,subject_code,question,marks
MSC-IT(IMS),2,ManagingEnterpriseNetwork,P42A1MEN,Any One) Why use Route Redistribution? Explain disadvantages to route redistribution,4
MSC-IT(IMS),3,PRINCIPLES OF CLOUD COMPUTING,P43A1PCC,Explain in brief Describe Cloud Monitoring Capabilities in brief Explain Desktop Virtualization in brief What is pub/ sub? Describe the core concept of pub/ sub Write a short-note on Server Virtualization What is Cloud Computing? Write a short-note o,15
MSC-IT(IMS),3,PRINCIPLES OF CLOUD COMPUTING,P43A1PCC,Explain Component of VoIP State the difference between FXS and FXO What is WLAN? Describe its advantages and disadvantages Describe Wireless Security Vulnerabilities in brief,4
MSC-IT(IMS),3,PRINCIPLES OF CLOUD COMPUTING,P43A1PCC,Explain the types of shell Why we use Linux? Write a short note on kick start file in Linux Describe the network types in Linux System Write a short note on IMAP Write a short note on FTP QAR S Aw Pp What is FHS? Describe Linux file system and direct,15
MSC-IT(IMS),3,PRINCIPLES OF CLOUD COMPUTING,P43A1PCC,Write a short note on NFS. 5,4
MSC(It),1,Artificial Intelligence,P41A1AI,List different types of agents Explain Simple reflex agent with proper example Il What is the meaning of AI? Discuss the different properties of task environment,8
MSC(It),1,Artificial Intelligence,P41A1AI,Discuss Breadth first search in detail Ill What is Knowledge based agent? Discuss the different approaches to knowledge representation Discuss different application of Expert system II What is NLP? Discuss different steps of natural language processi,8
MSC(It),2,Unified Modeling Language,P42A1UML,"How activities are implemented? Demonstrate using proper code and explanation. ; Why Android is so popular? Justify its popularity features wise. js id in details, Explain hist. f android in ; ; Why layout ” required in Android? Illustrate relative l",8
MSC(It),2,Unified Modeling Language,P42A1UML,Discuss the advantages of MongoDB What is NoSQL? Discuss the use of NoSQL in Industry Discuss aggregateO in MongoDB with example in details How to Create and Drop Database and Collection in MongoDB Explain Relationships in MongoDB Explain MapReduee i,30
MSC(It),2,Unified Modeling Language,P42A1UML,"Explain Insert, update and Delete Document in MongoDB with example. » Explain Insert, ‘GQ sD i terms: Database, Collection, Document, ObjectID . efine the ing: (ANY Tw (08) ‘ Answer the followine"" © 0) A Explain Regular expression with example in Mon",8
MSC(It),2,Unified Modeling Language,P42A1UML,"Discuss extensibility mechanism . lo you with suitable example. . 3 Answer the following? How could you model the associane ane zation relationship? Be Whatis a elation ship? Define dependency Explain the stereotypes used in dependen, cy. sagt 1 e 4 ",6
MSC(It),2,Unified Modeling Language,P42A1UML,"Explain in brief Explain razor code expressions, Explain data context class in detai), Explain following attributes which impacts on the schema of the database. 1 Foreign Key How WEBAPI Routing config work? Explain ActionResult type in brieg What is ",30
MSC(It),2,Unified Modeling Language,P42A1UML,"Explain HTTP verbs in) deta! gom WE) How to return JSON data f"" YFBAPI controller? Explain using example. sing J How to Consume WEBAP! using QUERY ajax(y?",8
MSC(It),2,Unified Modeling Language,P42A1UML,Explain supervised machine learning in detail Explain the steps of ML framework for developing model. os fp What is linear regression? Explain linear regression in detail. ao Explain the various terms of confusion matrix in brief What is LASSO? Expla,30
MSC(It),2,Unified Modeling Language,P42A1UML,"Explain in brief. b Explain ROC curve and AUC in detail, c What is chart? Explain Gain chart in detail",9
MSC(It),2,Unified Modeling Language,P42A1UML,Explain multi linear regression in detail. 5,6
MSC(It),2,Unified Modeling Language,P42A1UML,Explain KNN in detail with proper example. rt vector machine algorithm in detail. b_ Explain suppo: . jem? What is use of File? Explain different file operation mode Write in detail about Regular Expressions How to create dataframe using cgy_ diction,9
MSC(It),2,Unified Modeling Language,P42A1UML,Discuss various types of 4#ta formats Answer the following: (Any Two) : (09) What is the use of charts? Explain any two'excel charts in detail,6
MSC-IT(CS),3,MALWARE TAXONOMY AND ANALYSIS,P73A1MTA,Which are the recent trends in network forensic? What are the various classifications of network forensics? Discuss merits and demerits of Wireshark What does HIPAA stands for? What are the four main purposes of HIPAA? 2 Discuss various types of IPR ,12
MSC-IT(CS),3,MALWARE TAXONOMY AND ANALYSIS,P73A1MTA,What are Pros and Cons of taking Snapshot during Malware Analysis Process? What do you mean by Persistence Mechanism? Discuss different Methods to achieve persistence behavior Write a short note on Process Explorer Write a note on Inetsim and Wiresha,30
MSC-IT(CS),3,MALWARE TAXONOMY AND ANALYSIS,P73A1MTA,Also explain what Hash Dumping is? ; Explain what Reverse Shell in detail How android o/s works? Explain its architecture Describe any five control of android How Burp suite works? Describe in detail Describe android startup process What is Content P,6
MSC-IT(CS),3,MALWARE TAXONOMY AND ANALYSIS,P73A1MTA,What is snapshot? What is the advantage to take snapshot during malware analysis? Write down steps to take snapshot in VM? Write a short note on AndroidManifest.XML file in detail Why ADB is important in Android? How to analyze active and passive ana,12
MSC-IT(CS),3,MALWARE TAXONOMY AND ANALYSIS,P73A1MTA,Describe the features of NetworkMiner. 2,12
MSC-IT(CS),3,MALWARE TAXONOMY AND ANALYSIS,P73A1MTA,Discuss the packet capture format. 2 Discuss the TCP/IP protocol suite in brief Explain benefits of ISMS in detail Discuss various Key contexts of ISO 27001 Explain Internal organization of information security in detail Discuss PCI DSS with all bene,6
MSC-IT(CS),3,MALWARE TAXONOMY AND ANALYSIS,P73A1MTA,Discuss various needs for information security in brief. 2 Discuss various stage of PDCA cycle in brief. 3 Discuss Network security management in brief. 2 Discuss Internal ISMS audits in brief,12
MCA,1,JAVA PROGRAMMING- 2024,P11A1JP,"Explain the benefits of it Explain array within structures with example D.4.GAI{PAT U]\IVERSITY 1\{ cA S EM_r EXAM^rNA rroxiir cslINTRODUCTION TO DATA N'iIi""SrSMANAGEMENT Itqv- Dec 2AL? Define Watennark Define Drop cap Write down its steps. lYrite a ",11
MCA,1,JAVA PROGRAMMING- 2024,P11A1JP,"Any 2) (i) Explain any three different computing environments?(ii) Explain Upgrading and Migrating?(iii) How to do remote desktop access using windows 7. - oi Co^ ,'.-f-3\i""'3 What are Hardware requirements to install Windows 7? Explain (05) Key.feat",3
MCA,1,JAVA PROGRAMMING- 2024,P11A1JP,"Give example of abstract class with exception handling What is Package? Give example of package and class with various access modifiers Define : Tree ,Graph 5 Explain Bubble sort algorithm with example How binary search and sequential search differ w",11
MCA,1,JAVA PROGRAMMING- 2024,P11A1JP,How lambda function works? Write a small program to multiply two numbers using lambda function. 2 What is Flow Control? Explain any three statements. 3 What is-String? Describe Six methods with suitable example How to handle exception? Describe with ,11
MCA,1,JAVA PROGRAMMING- 2024,P11A1JP,Explain Query Processing with diagram. 2 Write a note on DBMS and SQL performance tuning in detail. 3 Write a short note on Database Query Optimization Modes. [B] What is Normalization? What is Deadlock? Discuss Deadlock Prevention in detail. 2 Discu,10
MCA,1,JAVA PROGRAMMING- 2024,P11A1JP,What is PL/SQL? Write down the block structure of PL/SQL. 2 Explain IF ...ELSE.... with example. 3 What is cursor? Discuss the types of cursor. [B] What is full form of DDL? What is Trigger? Explain it with proper example 2 Discuss the use of procedu,10
MCA,1,JAVA PROGRAMMING- 2024,P11A1JP,"Prove that if A and B are sets, then P(A = B) =P(A) x P(B) where P stands for the power set What is the probability that only one of them is selected? Find the age of eacher What are their ages? », toss by selling & swatch for Rs. id to earn 5% profi",11
MCA,2,FUNDAMENTAL OF MOBILE APPLICATION - 2024,P12A1FMA,Explain all the four types of drivers available in JDBC What is a Servlet? Explain the lifecycle methods of a servlet List all the implicit objects available in JSP and explain any 2 of them in detail. 3,1
MCA,2,FUNDAMENTAL OF MOBILE APPLICATION - 2024,P12A1FMA,"Explain each of them using proper code List the various scripting elements of JSP Explain each of them along with their syntax What are Java Beans? Explain the role of beans in MVC, (2) Explain any four JSF tags with example. 4 Answer the following D",1
MCA,2,FUNDAMENTAL OF MOBILE APPLICATION - 2024,P12A1FMA,Define Big Data Explain the characteristics of Big Data Explain about the architecture of Big Data Write down the Unix commands related to file creation & permissions Write down the steps to install Hadoop system on Ubuntu OS Explain terms: NameNode ,1
MCA,2,FUNDAMENTAL OF MOBILE APPLICATION - 2024,P12A1FMA,Explain array in detail. questions' (Any Two) Explain Circular Queue with example' Explain PrioritY Queue in detail' Explain any one type of linked list with example' SECTION.II 4 Answdr the following questions in brief' (A) Define the terms related ,8
MCA,2,FUNDAMENTAL OF MOBILE APPLICATION - 2024,P12A1FMA,ExPlain java Package in brief' fiI,10
MCA,2,FUNDAMENTAL OF MOBILE APPLICATION - 2024,P12A1FMA,Discuss new Form elements with suitable example Explain HTML5 media elements in brief Explain <canvas> element with suitable example List out the new features of HTML5 Draw the Structurar Erements in HTML5 and exprain it Define the term ApI and expla,10
MCA,2,FUNDAMENTAL OF MOBILE APPLICATION - 2024,P12A1FMA,"Describe IPv4 Address, Classes and its Classifications Define these terms: Network Address Describe in brief : Loopback IPv4 Addresses, HTTP, SMTP Explain in details : Unicast, Multicast, Broadcast, WWW, BOOTP Give the full form : ICMP,IGMP question.",4
MCA,2,FUNDAMENTAL OF MOBILE APPLICATION - 2024,P12A1FMA,"Explain lNF,2NF, BCNF u'ith exampie' Explain structure of DBMS in brief What is Entity in database?",10
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,"Define: Timeline Charls izl What is Software Review? i:) Define : Behavioral Testing i;i What is WebApp's Performance Testing? Anslver the following Questions'(An1' Trvo) Explain Risk Expos""tt Gp) :P I C with example' p.i.riU"" basic piinciples for So",1
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,How should one plan one's presentation to make it effective?,1
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,Explain the Structure of Job Application and Resume What is oProposal'? Discuss the objectives of Proposals in short How does a research paper help spread knowledge of newer developments? What isthe present agc of Ra.ieev? tlreir. ages are iri theles,6
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,"GANPAT {JNIVERSITY lu.c.A. sE&{-IIr EXAMTNATION (CBCS) P13A5QAI., ; QIJANTIT,{TIVE AFTITUNE AND LOGICAL REASOIqING loursl Nov- Dec 201? tTota! vlarks: 60 Instruc[ions: ,2<"".*,';, ' Explain ry*pes of numbers system' il Find his gain Yo' tAl (AnY Two) ",1
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,Give very small demo,10
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,Wtrrt is mlrltilevel inheritance? Draw the sketch and write suitable code with exPlanation,11
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,"AnY Two) Explain aPPlets in detail' e'J;;.#'ple 9f event handling with check boxes' How to create PoPuP menus? What is comUo'-boxi-tt'ow-to toiO your data into that control? Short note on ""LaYout Managers""' Wflut is ""Resultset""?",11
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,Q-s.SBCTION.I L What is CSS responsive? Explain the viewport in brief' U What ls Angutarls? Discuss features of AngularJS' (AnY Two) I Explain rnedia query with suitable example' ILDefinetypesofeverrtsinhtrnl5.Explainarrytwoeventswithitsatftibutes. i,6
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,"Define white box and black box testing' A*t*ut ttte followEng (AnY Two) Exptain clifferent types of risks' -WhatisprojectschedulinE?ExplainbasicPrinciplesof project scheduling W[at nLtrrL-rer shoLrld come next?1. 2 Find out Wronq Pattern Zru, WE !E H",2
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,"What is the Present age ofRajeev? Find trre gairr earrred b.v hirn at the tr,r,o transaction Firrd the average of flrst 40 natural nLrrrbers?Il Find the simple interest on Rs.68,000 at l6 213%o per allnLl1l.l for g rronths.III Find the value of (i) 6",8
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,"Ten y;;; ago, the ratio of their ages was 1:5' What is Hiral's father's age at Present?",8
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,"What is the share of B? If A alone can dar7s, in how many daYs can B in 2 minutes 30 certain rate for 3 Years' would have fetched Rs'day?(4) A and B together can comPlete comPlete the same work in 12 alone comPlete the work?",8
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,"If the interest rate is increased by 3o/o, it would amount to how much?",1
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,Write each section in separate answer book. 3,8
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,"List out Types of Server What are the appropriate uses of MIME ? What do you mean by Subnet Masks ?. 2 Define Network Topologies and discuss advantage and disadvantage of Bus Network Topologies Discuss VLAN conf,guration in switch. 3 Describe the var",1
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,Define ICMP Describe importance of iptables What is the purpose of DHCp ? Discuss Domain Name System (DNS) Explain vfutualization architecture Ansrver the follorving (1) Define Big Data AnalYtics' A; What is Business Process Management? Statehowcloud,2
MCA,3,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024,P13A1ADM,"Averagenumberofcttstomersrn,hOarelike}yt0returntheitenrs (e}Thevarianceandthestandarddeviatiorralthenltmberolreturns. ,4,SECTION-TI "" (i) What is co-relation anaiysis'l Explain it n'ith suitable positive anci negative cofrelation' (ii) V,/hat is ,i*t",1
MCA,4,SYSTEM DEVELOPMENT PROJECT – II - 2024,P14A1SDP2,"Questions'(Any Two) ff""* C*""fgP MVC works? write a pHp sffipt * ;;reEl, D:parfin:lts data using PDO' How DOM APt is Work? Give ExamPte' ,ii'Ti,'1il'*ffi,fii; t, bv defaurt weu-formed xML file.(True/False) AnsrverthefollowingQ.uestions'(11-v-L::"") Des",3
MCA,4,SYSTEM DEVELOPMENT PROJECT – II - 2024,P14A1SDP2,"List or-rt ASP.NET Iv{VC Version history, in brief iii) Define the ter:m : ViewData and'tr'empData (iv) What is Fornrs? List out tlrc http rnethotls Lrsing Forrns. i(A) Anslver the follorving: (Any'Ts,o) (i) Wliat is r\SP.NEI MVC? ii) Wirat is Razrir",10
MCA,4,SYSTEM DEVELOPMENT PROJECT – II - 2024,P14A1SDP2,List out any four request headers. 2 Give any two rriethods that can specify status code in servlet'i 3 I{ow to send clier.rt data to server? Explain. 2 Horv to rxanage session? Describe. i 3 What is MVC'? Explain it with suitable example. 2 Describe,6
MCA,4,SYSTEM DEVELOPMENT PROJECT – II - 2024,P14A1SDP2,"ANy Two )A' what is Missing oataz ilow to Handle Missing Data? Describe Data Reduction Strategies in details.c' ilLHIJ'e different steps of .{ttribut""-oriented Inductio, with proper example 4 Why Data Mining? C.6.W_hat is Frequent pattern Analysis? W",8
MCA,4,SYSTEM DEVELOPMENT PROJECT – II - 2024,P14A1SDP2,"I?] List out phases of SOA delivery Lifecycle.(4) Types of Business Services. r .euestions.(Any Trvo)Horvloose coupling piir.ipt"", lnt""r-.""tut"" with other principles?Describe Service Layer Abitraction What are Components of SOA and How they Inter_rel",10
MCA,4,SYSTEM DEVELOPMENT PROJECT – II - 2024,P14A1SDP2,Q-2 (A) s.(Any Trvo)1) Explain the model for internetwork securify.2) Discuss the TCp session hijacking in brief.3) Write a short note on Digital signature.(B) What is the UDP hijacking?,2
MCA,4,SYSTEM DEVELOPMENT PROJECT – II - 2024,P14A1SDP2,Discuss the nature of virus. s Write the short note on secure electronic transaction Discuss the pretty good privacy in brief What is a trusted system? s Discuss the firewall design principles in deep Explain various security services in detail Discu,10
MCA,4,SYSTEM DEVELOPMENT PROJECT – II - 2024,P14A1SDP2,"Any Two) What is session? How can you handle iffiGive MVC example with ,,RequestDispatcher Give example of database ""preparedstatement,, with yourown query.(1 1) 4.(A) 4.(B) 5.SECTTON-II List out JSF Bean Scopes Give any basic example of database ope",8
MCA,4,SYSTEM DEVELOPMENT PROJECT – II - 2024,P14A1SDP2,Data Cleaning (2) Types of SamPling (3) Define Concept Hierarchy with example (4) Data Mart 2.(A) Questions.(Any Two)' fil What is Data Warehouse? Explain its Characteristics' (2) Explain the three tier Data warehouse Architecture' (3) What is OLAP?,6
MCA,4,SYSTEM DEVELOPMENT PROJECT – II - 2024,P14A1SDP2,What is Noise?,1
